POINT_COUNT: 35991
[2820.841668 1072.421119]	[2522.188191 1002.621667]
[2820.946704 1072.454151]	[2522.330482 1002.640847]
[2822.698862 1073.062095]	[2524.872726 1003.004845]
[2821.124121 1072.037100]	[2523.684111 1002.149050]
[2818.433870 1071.785568]	[2519.288331 1002.276065]
[2818.896740 1071.488523]	[2521.993380 1001.804931]
[2816.091366 1071.320257]	[2516.921081 1002.058258]
[2818.159660 1071.727704]	[2519.000786 1002.247967]
[2813.759971 1070.883417]	[2514.642687 1001.861745]
[2816.607188 1071.400448]	[2520.250152 1001.908730]
[2814.291037 1071.507997]	[2518.484181 1002.202920]
[2811.447986 1070.497252]	[2512.522165 1001.703281]
[2812.855258 1070.712513]	[2513.753893 1001.784416]
[2810.317326 1070.421139]	[2511.821200 1001.713099]
[2809.309942 1070.576237]	[2511.859912 1001.894630]
[2811.980785 1071.572954]	[2516.722621 1002.455736]
[2809.684773 1071.532052]	[2514.972466 1002.605595]
[2809.179800 1070.697207]	[2512.165193 1001.996320]
[2809.096079 1071.094219]	[2513.312395 1002.309059]
[2809.223699 1071.515874]	[2514.621035 1002.628031]
[2823.840050 1075.453360]	[2525.717301 1005.209657]
[2823.196581 1073.726758]	[2525.244908 1003.602837]
[2824.079202 1077.741096]	[2525.876241 1007.389189]
[2823.991936 1079.991106]	[2525.787079 1009.559421]
[2823.489565 1082.193064]	[2525.382439 1011.717910]
[2822.438985 1084.332016]	[2524.561052 1013.861502]
[2821.590418 1085.574724]	[2523.902393 1015.126844]
[2803.458965 1072.554608]	[2501.804892 1004.630951]
[2803.894531 1070.792921]	[2503.274294 1002.828637]
[2803.912276 1070.747024]	[2503.353817 1002.778878]
[2804.171122 1070.331461]	[2504.703554 1002.285479]
[2804.382484 1070.353889]	[2506.078673 1002.213536]
[2803.117552 1074.664177]	[2501.203253 1006.710452]
[2803.392447 1072.924980]	[2501.656712 1004.998934]
[2802.826451 1076.909563]	[2501.027231 1008.892259]
[2804.574699 1070.518382]	[2507.438220 1002.279893]
[2804.758180 1070.749274]	[2508.790926 1002.410836]
[2807.393748 1071.455359]	[2513.225989 1002.720644]
[2804.931569 1071.055030]	[2510.135690 1002.614612]
[2805.099652 1071.401027]	[2511.476453 1002.857499]
[2820.919047 1086.416798]	[2523.382676 1015.992351]
[2818.995215 1088.455045]	[2521.896917 1018.112527]
[2818.884848 1088.562516]	[2521.811767 1018.225076]
[2816.764952 1090.457838]	[2520.177710 1020.224706]
[2802.677992 1078.214808]	[2501.058387 1010.151455]
[2802.571181 1079.252705]	[2501.155731 1011.147781]
