POINT_COUNT: 50
[152.350906, 3225.732910]		[2263.857666, 5082.571289]
[153.107086, 3225.931885]		[2263.857666, 5082.571289]
[157.049637, 3726.950928]		[1011.832886, 5082.659180]
[163.933334, 3777.819824]		[2109.054199, 5081.824219]
[1526.617554, 5075.748047]		[2034.138672, 5083.791992]
[2007.479980, 5074.639160]		[2034.138672, 5083.791992]
[2007.569702, 5073.759766]		[753.865173, 5082.709961]
[2061.328613, 5042.435547]		[2609.417236, 5081.655273]
[3312.914063, 5056.806641]		[1379.701050, 5083.834473]
[1918.776733, 5063.943359]		[3093.799805, 5057.444336]
[1920.575684, 5061.039551]		[3093.799805, 5057.444336]
[1663.682739, 5048.651367]		[3093.799805, 5057.444336]
[1921.082153, 5073.767090]		[3095.083008, 5064.280273]
[3299.379395, 5042.256836]		[2272.568359, 5069.726563]
[153.438583, 3125.583008]		[3093.799805, 5057.444336]
[1919.432617, 5074.707031]		[154.224625, 5080.583496]
[174.584930, 3097.411377]		[102.042908, 3470.200928]
[161.649216, 5066.423340]		[88.349815, 5079.346680]
[163.554474, 5064.316406]		[88.349815, 5079.346680]
[3003.039307, 1718.678589]		[2884.470947, 1841.857056]
[1979.114136, 3963.342041]		[1874.225952, 4327.938965]
[922.159912, 238.799606]		[674.544495, 2051.141846]
[2806.512451, 2795.050049]		[2729.689941, 3170.650635]
[3004.013428, 1717.662231]		[2884.470947, 1841.857056]
[1075.704956, 1687.169067]		[854.239014, 1863.326294]
[165.156128, 4988.012695]		[88.331802, 4941.439453]
[1057.190552, 1041.494019]		[816.984863, 2908.220459]
[130.150452, 4826.898438]		[68.875763, 3470.891846]
[137.915176, 4942.367676]		[68.875763, 3470.891846]
[137.227982, 4942.608398]		[64.854172, 3472.992432]
[1873.176270, 2984.573486]		[1736.058350, 2838.668701]
[167.513153, 4696.099121]		[88.331802, 4941.439453]
[145.456894, 4800.341797]		[68.875763, 3470.891846]
[1987.333862, 4001.823730]		[1886.214844, 4372.256348]
[145.392578, 4798.433105]		[64.854172, 3472.992432]
[158.259949, 4914.602051]		[1171.355469, 5082.775879]
[906.105286, 286.271790]		[659.672363, 2098.820313]
[1978.896973, 4008.318115]		[1877.330933, 4378.132324]
[2003.991699, 3998.564941]		[1902.517334, 4370.250000]
[159.177673, 4784.074219]		[3093.799805, 5057.444336]
[1102.996704, 2460.813721]		[1747.734497, 2436.371826]
[2874.620850, 1309.939697]		[2731.667236, 1446.623779]
[1103.385010, 2461.473633]		[1747.734497, 2436.371826]
[2500.059814, 401.128632]		[1554.602905, 342.581451]
[968.227661, 2713.398438]		[710.185791, 3164.115967]
[1901.219482, 2797.388428]		[1760.931885, 2648.761719]
[2414.183594, 2444.741211]		[2300.414063, 2284.843506]
[1968.678833, 3998.160645]		[1902.517334, 4370.250000]
[1762.163940, 898.965515]		[1569.160156, 662.240295]
[2408.207520, 352.701019]		[1651.460083, 300.809509]

H:
[1.641395562153891, 0.3048541069677043, -1677.944939343844;
 0.5553079328929667, 2.037823894802213, -2758.189993810066;
 4.648390612477181e-005, 9.859314024778882e-005, 1]
