POINT_COUNT: 50
[390.910950, 152.686432]		[86.867188, 136.842682]
[375.910980, 230.601578]		[71.853088, 214.983795]
[447.039642, 130.100357]		[142.110870, 114.663811]
[409.721558, 138.348557]		[105.589943, 122.624092]
[411.180786, 141.309799]		[107.013504, 125.678246]
[381.058228, 156.263855]		[77.033569, 140.384949]
[393.147400, 150.123825]		[89.057159, 134.253876]
[347.077881, 169.840836]		[42.525288, 153.959686]
[409.360046, 194.130005]		[105.380966, 178.227264]
[402.162354, 212.650543]		[98.287308, 196.665756]
[420.325714, 230.296570]		[116.332870, 214.129440]
[340.358704, 224.491928]		[35.842297, 209.234467]
[423.074188, 184.838196]		[118.862366, 168.920273]
[421.546112, 237.175980]		[117.480682, 220.878387]
[464.775360, 192.119659]		[159.688095, 176.002090]
[346.073700, 179.064377]		[41.597389, 163.098404]
[347.138245, 230.263138]		[43.196018, 214.939133]
[405.956238, 241.144684]		[102.032951, 225.025650]
[453.883636, 191.483200]		[149.095535, 175.412781]
[344.229004, 184.504578]		[39.752888, 168.364120]
[362.525085, 128.810303]		[57.934078, 112.551422]
[323.219971, 172.161072]		[18.222443, 156.295883]
[395.028320, 230.275436]		[91.147652, 214.413452]
[465.547913, 248.677994]		[160.812851, 231.738693]
[427.256653, 197.091248]		[123.047539, 181.181686]
[412.885986, 166.476074]		[108.672318, 150.722717]
[381.785767, 206.507294]		[77.791885, 190.723846]
[380.260681, 224.751129]		[76.357315, 208.882782]
[397.703979, 147.856354]		[93.611008, 131.975677]
[386.800415, 224.490509]		[82.874954, 208.566330]
[378.242889, 228.234100]		[74.320129, 212.600388]
[390.357880, 209.173752]		[86.442169, 193.225372]
[331.434845, 185.084091]		[26.687498, 169.469360]
[461.833710, 223.631485]		[156.906738, 207.046738]
[401.130920, 223.310394]		[97.451828, 207.355942]
[421.249847, 233.410995]		[117.197624, 217.383392]
[321.908478, 208.653091]		[17.194073, 193.222229]
[348.927948, 245.947983]		[45.380196, 230.722900]
[448.295105, 193.342941]		[143.599274, 177.339005]
[461.093933, 223.274475]		[156.261612, 206.804245]
[475.496399, 220.520416]		[170.286423, 203.851532]
[397.351837, 228.848587]		[93.573906, 213.083298]
[430.866821, 191.035919]		[126.601799, 175.055283]
[362.991272, 159.100113]		[58.595936, 143.163101]
[416.974487, 207.443085]		[112.907326, 191.497025]
[347.733582, 150.601379]		[43.030815, 134.566101]
[401.244751, 237.805908]		[97.704849, 221.693085]
[337.300934, 129.171814]		[32.433178, 112.735130]
[415.446777, 160.010071]		[111.172295, 144.137833]
[442.990906, 240.869812]		[138.768692, 224.205261]

H:
[1.108265144091684, 0.007214054839331669, -339.9021906670375;
 0.03495581586415659, 1.093151623248728, -31.65213497141526;
 0.0002186655983572658, 2.021181595604738e-005, 1]
