POINT_COUNT: 67
[2186.313721, 1178.870972]		[1639.823975, 929.338135]
[1748.046997, 2203.583740]		[1531.853027, 2165.543945]
[1888.658447, 1375.971802]		[1635.343140, 1354.798828]
[2185.894287, 1178.792358]		[1531.810913, 1308.138062]
[1553.233032, 1355.338501]		[1936.862427, 953.942505]
[1766.120605, 2204.201660]		[1492.441895, 2159.658447]
[2217.403809, 1269.372437]		[1896.426758, 2228.488037]
[1669.103882, 979.165710]		[1531.810913, 1308.138062]
[2217.927979, 1269.030884]		[1896.426758, 2228.488037]
[2191.996826, 1125.261475]		[2170.163086, 1325.849121]
[1981.239014, 947.800110]		[1808.792603, 920.175476]
[1588.869873, 1053.570313]		[2215.715088, 2091.167236]
[2258.323975, 1506.793335]		[2069.754639, 1065.491333]
[1579.907349, 1074.642090]		[2057.589111, 1062.501587]
[1954.765869, 1374.796143]		[1686.101196, 1360.709351]
[1953.161865, 926.161133]		[1867.294556, 918.223877]
[2235.713623, 1363.251099]		[2383.489258, 1861.645630]
[1554.082397, 1337.994751]		[1661.375488, 923.093750]
[1588.623291, 1054.213989]		[2215.733643, 2091.755127]
[1541.291992, 1370.968384]		[1867.294556, 918.223877]
[1577.708984, 1074.461792]		[2057.589111, 1062.501587]
[1570.768066, 1211.272949]		[1736.143677, 924.736084]
[1943.670044, 1389.128784]		[1677.820801, 1373.291504]
[1954.105103, 1375.344482]		[1686.101196, 1360.709351]
[1793.977661, 935.217041]		[1703.119141, 921.202087]
[1755.056152, 2189.500732]		[1480.532837, 2142.467041]
[1643.728149, 972.492432]		[1534.157227, 1167.225586]
[2224.757813, 1354.491821]		[1400.629395, 2056.289551]
[2197.585693, 1188.375366]		[2057.589111, 1062.501587]
[1957.444702, 1374.909180]		[1686.101196, 1360.709351]
[1578.137329, 1074.320435]		[2057.589111, 1062.501587]
[1580.193359, 1014.390686]		[1478.843506, 2156.419189]
[2187.312500, 1124.858154]		[2170.163086, 1325.849121]
[1575.428467, 1023.374268]		[1524.149780, 1420.812256]
[1534.760376, 1370.689575]		[1867.294556, 918.223877]
[1553.336914, 1299.992432]		[2168.098145, 1465.743042]
[1574.185669, 1071.954956]		[2057.589111, 1062.501587]
[2254.761475, 1505.985718]		[2174.160889, 1354.903564]
[2008.653564, 1277.853882]		[1707.222168, 1266.669067]
[2006.422607, 942.588013]		[2166.056152, 1346.355225]
[2187.420898, 1200.807617]		[2064.138916, 1097.936157]
[2213.986328, 1441.175415]		[1775.463867, 917.325806]
[1573.164185, 1070.624756]		[2057.589111, 1062.501587]
[2227.732178, 1375.434082]		[1650.941406, 926.418518]
[1952.521973, 942.075256]		[1534.157227, 1167.225586]
[1887.633911, 1376.460571]		[1635.343140, 1354.798828]
[2180.292725, 1138.930176]		[2174.160889, 1354.903564]
[1704.894165, 1981.650391]		[1446.126709, 1929.307251]
[2210.710938, 1287.128174]		[2166.292236, 1325.716553]
[1887.208496, 934.332336]		[2178.685547, 1426.450684]
[1554.566895, 1376.038940]		[1936.862427, 953.942505]
[1562.742676, 1210.835327]		[1514.262817, 1412.841187]
[2211.135010, 1286.973633]		[1736.143677, 924.736084]
[1573.861572, 1908.441528]		[1966.568604, 2202.679932]
[1845.835938, 933.447876]		[1936.862427, 953.942505]
[1609.929199, 1183.081055]		[1859.929199, 938.297791]
[1655.413574, 2204.546143]		[1966.568604, 2202.679932]
[1833.910767, 945.407227]		[2289.544922, 2086.572510]
[1535.690674, 1524.454590]		[1867.294556, 918.223877]
[2285.828613, 1914.638916]		[2057.589111, 1062.501587]
[1770.589966, 955.339783]		[1936.862427, 953.942505]
[2048.526123, 968.747559]		[1613.496826, 943.512451]
[1908.824585, 1377.965942]		[1651.229248, 1360.002930]
[2184.977295, 1235.185303]		[2082.315918, 1163.041016]
[2176.787842, 1322.391724]		[1544.881226, 1326.688965]
[1786.379395, 2120.950684]		[1514.703247, 2080.589600]
[2222.554199, 1337.171997]		[1924.644653, 948.619568]

H:
[-1.218963463924326, 0.3297585798041561, 2368.367870143063;
 -0.6989494995461061, 0.6792835055398108, 786.3186032579189;
 -0.0006609146211470123, 0.0004016302901798469, 1]
